Null (reference),Null (threshold),Full
0.78248294019224,0.793588207631251,0.463842418436161
0.778835777274566,0.793496511610631,0.470367789301771
0.777264653066719,0.792361935640084,0.465746380755541
0.781554465869671,0.792962860268708,0.474665684427777
0.778766674578552,0.793123060071961,0.462297843426554
0.780052236642855,0.792929549041335,0.482889187828835
0.782332257270973,0.798830678298143,0.481061163216068
0.78323894873295,0.793058980963916,0.446751233685031
0.77893097514091,0.79582686492445,0.456131756422984
0.780641207773399,0.797527256648834,0.475955283403478
0.782707559818293,0.800775588645817,0.483740178217285
0.784204218772961,0.799750450775225,0.469453718556857
0.786849737499169,0.798651029960529,0.457955169133903
0.784619658654765,0.796618178244174,0.476789301083724
0.784942668200493,0.798336728541776,0.464282003278635
0.790161744648904,0.798935419404194,0.476566708441302
0.787427905114009,0.801906764208955,0.485816135204562
0.785200759789096,0.802341382322791,0.494836729260608
0.792481515057149,0.802206175744065,0.476203168443354
0.788263142675475,0.799732969023013,0.470183485790024
0.790161849142061,0.803497054143936,0.480773638454198
0.79077422211985,0.80491351405923,0.48791753911572
0.788709937771911,0.808189094985474,0.486590157120288
0.790162014835626,0.802678527805288,0.472990097113602
0.791114091612394,0.80605420939299,0.475342529976537
0.78968275246053,0.804105706003542,0.494505773605353
0.789181422445545,0.802824022871749,0.459243228374764
0.797021545498722,0.807253929559141,0.478690237779144
0.793424311316544,0.806676836040223,0.472753599940421
0.794849276256162,0.809433492082112,0.486284814876659
0.79206698084349,0.806210551566804,0.490746756386441
0.797210407862519,0.809003143115981,0.469665201492681
0.795548970542952,0.809997290401632,0.475260499130497
0.796582150683932,0.810496483129273,0.499235494693532
0.796447966234869,0.809087472442243,0.503411535847696
0.798581902907319,0.809484380217153,0.461917830163093
0.797938005591163,0.812394811948791,0.475482206417156
0.796551993224583,0.810387422280944,0.469698508017182
0.796421172908187,0.809330741412266,0.482460747803636
0.800166392587864,0.814799021212611,0.470727482630726
0.79919690383849,0.815047403390749,0.469850581062561
0.799035920003125,0.812109272068712,0.476886760384004
0.801081298836321,0.812109231995509,0.504812230116419
0.800471711099425,0.812404974787403,0.480842466758076
0.803412474178873,0.8141852957167,0.488573543442424
0.800374085656298,0.815065681676765,0.477673699872492
0.802582988735704,0.814535767924674,0.493831244320682
0.802673102766008,0.819234590781083,0.48574368089354
0.806171678072349,0.817314129055598,0.486090268146705
0.807740911780508,0.814182026017966,0.498911760244954
0.804271743838992,0.817770312581401,0.477162190102658
0.806617151961295,0.821595543419992,0.486587774069296
0.805498035738243,0.816464743136617,0.499681976555348
0.807586659624053,0.820446942464773,0.493512077770204
0.807217055426218,0.818745269853901,0.487384162124266
0.810655073042216,0.817193862958212,0.474881077736317
0.808683700391383,0.818787445751341,0.481531515194519
0.810284740936429,0.820811632308583,0.485283839745399
0.808934041714249,0.820088037944382,0.504262897958825
0.807826963956042,0.822325771479774,0.497121035088123
0.807131882477083,0.825115899950334,0.473931562067068
