Read,Full,Null (reference),Null (threshold)
50.0,0.790998578617491,0.75772844011122,0.763541414929419
51.0,0.795092220786365,0.760387278538326,0.766288681234959
52.0,0.795036933954739,0.763182197864609,0.768277059898542
53.0,0.794654024593124,0.765335120947957,0.768988669399305
54.0,0.797496501236188,0.767300237264314,0.770473788413687
55.0,0.796443863670679,0.767901490339591,0.771003396355805
56.0,0.795305931766724,0.7692295531464,0.772618516481153
57.0,0.796526360450638,0.770878177054181,0.773282220402337
58.0,0.799178842035891,0.771840787315235,0.773777179122146
59.0,0.797709409246037,0.773568518707235,0.774374761438764
60.0,0.798050056191751,0.773127518364505,0.775331497526628
61.0,0.801054317544373,0.774777982005899,0.773780661048339
62.0,0.796788754203717,0.775145767087731,0.774783772145569
63.0,0.799329151950366,0.774905554268522,0.77650683494427
64.0,0.799639344694367,0.775734937803308,0.775243237904701
65.0,0.798762214893076,0.776345566222167,0.776639930331417
66.0,0.797933260598501,0.777034102302619,0.775375847411336
67.0,0.798745517618201,0.777227245680842,0.776310972253912
68.0,0.799999457655044,0.77711619178786,0.777569560785123
69.0,0.798815680412233,0.777995273312514,0.776855387985728
70.0,0.800965869168182,0.777094545385822,0.776603061652178
71.0,0.80027821957499,0.778112805737071,0.776456576936594
72.0,0.803068463030237,0.777255469126277,0.777692005988546
73.0,0.797661027037518,0.777500911121101,0.77611677591176
74.0,0.799274269144015,0.777797070725056,0.776493068603996
75.0,0.799273553794395,0.778658210344416,0.777511947328557
76.0,0.793289823784327,0.778187638378844,0.775809071010477
77.0,0.798976131835115,0.777531558284765,0.77601971736246
78.0,0.798894509662662,0.778232836031304,0.777878637286018
79.0,0.798873305968781,0.778177747140385,0.776674883575277
80.0,0.796941240541541,0.778308700616539,0.777336852495103
81.0,0.796473967133904,0.778289496085412,0.777070044822517
82.0,0.796469101564331,0.778333658762188,0.77679228911728
83.0,0.799150660305143,0.778061560276124,0.77831686241633
84.0,0.798230073466967,0.778312273892623,0.777891490075378
85.0,0.799849619596339,0.778848583946985,0.776718716569716
86.0,0.802653309517015,0.778333416046684,0.779065524400297
87.0,0.79622679078084,0.77836217426683,0.777085960511649
88.0,0.798138283041105,0.778401636669448,0.776836799394904
89.0,0.797500564068327,0.779208247368959,0.777682686687806
90.0,0.798177140825436,0.778808768940962,0.777305608146239
91.0,0.797644627724192,0.777464582653531,0.777302751007639
92.0,0.801345339326938,0.779443154146712,0.777186171545278
93.0,0.799929528153966,0.779062795693617,0.776396343908708
94.0,0.799972872157492,0.778586598655194,0.77894206585848
