Full,Null (reference),Null (threshold),Cite
0.683629352266683,0.66874634264821,0.665922855201965,20.0
0.696374430127724,0.674959149112415,0.672544908828017,21.0
0.701363547425441,0.681691422769471,0.679021704878125,22.0
0.705945521238238,0.688904328520798,0.685580841332871,23.0
0.715919561504083,0.695823362916102,0.691993869022171,24.0
0.722173050578477,0.702965747295578,0.698935142234706,25.0
0.726802077205504,0.707447232020878,0.705664201371042,26.0
0.734946847192167,0.714058922850567,0.711254881330469,27.0
0.741802858120647,0.720415314498594,0.718587971537514,28.0
0.746277617278392,0.726854468681904,0.722929183875153,29.0
0.752630068895485,0.730649039871241,0.731012756022656,30.0
0.760887424297094,0.736925432128636,0.734025374035084,31.0
0.761471582202656,0.741983297458035,0.739952311505754,32.0
0.76777396195827,0.747253605532943,0.745574745489631,33.0
0.773034494741257,0.751615630974371,0.750707664676762,34.0
0.77814792666721,0.757183895593015,0.75553584236091,35.0
0.781302953068554,0.761653604978461,0.759731075125837,36.0
0.786399706403726,0.766268475220072,0.765418449038913,37.0
0.791952844594485,0.770470919986516,0.770275302260978,38.0
0.794899169044116,0.77537741391557,0.773724577381914,39.0
0.801016186374417,0.778381758448191,0.777644576914312,40.0
0.804490153026859,0.782942228631692,0.782035470519091,41.0
0.811284593242172,0.786517117895101,0.786598222508633,42.0
0.809836457298002,0.790541063057648,0.788890668827844,43.0
0.814313851202642,0.794033381927053,0.792741384366472,44.0
0.81840070382073,0.79808046856841,0.797379238318894,45.0
0.815959722550449,0.802102002488286,0.799550584093527,46.0
0.824564000985262,0.804837027253839,0.804229513695621,47.0
0.828035275742734,0.808354512253448,0.80896215126477,48.0
0.832003614069985,0.811926118111142,0.811459948872867,49.0
0.83309136651222,0.815036684966813,0.815436464588766,50.0
0.835436054435256,0.818705248098247,0.818466182270595,51.0
0.83870719814547,0.822757826206355,0.822525211865991,52.0
0.843877786509404,0.825289013718769,0.825602294879754,53.0
0.846125881283999,0.828776715600874,0.8289250823881,54.0
0.850152301389064,0.832097412978989,0.831580499128777,55.0
0.854723210928851,0.834517608024791,0.836751320950002,56.0
0.853682455349932,0.837532059858062,0.837885939816765,57.0
0.855723646025227,0.840232191738621,0.840063168956996,58.0
0.861086974934922,0.842887868107653,0.844783651620663,59.0
0.863761937703485,0.845574130656448,0.846754913598585,60.0
0.86556963533637,0.847883742823415,0.8488263180054,61.0
0.869716792190365,0.850971597121111,0.851547346601603,62.0
0.871503627988467,0.853272389572387,0.854256606530229,63.0
0.873691491748184,0.855099542157447,0.857383625821713,64.0
0.874836632693634,0.856757230978044,0.858480113242703,65.0
0.877777011501464,0.85944278268695,0.862764750538645,66.0
0.88029896990192,0.861275720561597,0.864886264241338,67.0
0.880026559718617,0.862942648509896,0.865050727382312,68.0
0.885501384143037,0.865844347504073,0.868396765450668,69.0
